cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
70301724,"[3-[(1S)-1-(Dimethylamino)ethyl]phenyl] N-methyl-N-[(3Z)-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(11),3,5,7,12-pentaenylidene)propyl]carbamate",SCHEMBL8202414,456.600,C30H36N2O2,32.800,796.000,NULL,34,0,3,7,PNNDORGWNJCGNL-QHFGQAMDSA-N,"[3-[(1S)-1-(dimethylamino)ethyl]phenyl] N-methyl-N-[(3Z)-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(11),3,5,7,12-pentaenylidene)propyl]carbamate",NULL,1024,1,NULL,20121201,NULL
70460179,"[2-[1-(Dimethylamino)ethyl]phenyl] N,N-diethylcarbamate",SCHEMBL10868413,264.360,C15H24N2O2,32.800,277.000,NULL,19,0,3,6,XTXYOUTWTDTUDA-UHFFFAOYSA-N,"[2-[1-(dimethylamino)ethyl]phenyl] N,N-diethylcarbamate",NULL,1040,2,NULL,20121201,NULL
71307596,3-(1-(Methylamino)ethyl)phenyl dimethylcarbamate,3-(1-(Methylamino)ethyl)phenyl dimethylcarbamate|855829-24-2|Y4297,222.280,C12H18N2O2,41.600,231.000,1.500,16,1,3,4,UDYXXHXGNRGNDS-UHFFFAOYSA-N,"[3-[1-(methylamino)ethyl]phenyl] N,N-dimethylcarbamate",NULL,,,NULL,20130509,NULL
71307612,3-(1-(Methylamino)ethyl)phenyl ethyl(methyl)carbamate,3-(1-(Methylamino)ethyl)phenyl ethyl(methyl)carbamate|948051-93-2|3-[1-(Methylamino)ethyl]phenyl ethyl(methyl)carbamate|RA05|DTXSID10745410|AX8273031|Y4818|J-510404,236.310,C13H20N2O2,41.600,246.000,NULL,17,1,3,5,DKTHTUMLVSBQTJ-UHFFFAOYSA-N,[3-[1-(methylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,NULL,512,1,NULL,20130509,NULL
71316042,"[3-[(1S)-1-(Dimethylamino)ethyl]phenyl] N,N-bis(1,1,2,2,2-pentadeuterioethyl)carbamate","Diethyl Rivastigmine-d10|N,N-(Diethyl-d10)carbamic Acid 3-[(1S)-1-(Dimethylamino)ethyl]phenyl Ester",274.420,C15H24N2O2,32.800,277.000,NULL,19,0,3,6,GRLIVEWNSBETGE-HNGTXGCLSA-N,"[3-[(1S)-1-(dimethylamino)ethyl]phenyl] N,N-bis(1,1,2,2,2-pentadeuterioethyl)carbamate",NULL,,,NULL,20130517,NULL
71750575,[(1S)-1-[3-[Ethyl(methyl)carbamoyl]oxyphenyl]ethyl]-trimethylazanium;chloride,N-Methyl Rivastigmine Chloride|(S)-1-[3-(Ethylmethylcarbamoyloxy)phenyl]ethyl]trimethylammonium Chloride,300.820,C15H25ClN2O2,29.500,299.000,NULL,20,0,3,5,QKUAWLCQYQLVJP-YDALLXLXSA-M,[(1S)-1-[3-[ethyl(methyl)carbamoyl]oxyphenyl]ethyl]-trimethylazanium;chloride,NULL,,,NULL,20131101,NULL
71750576,[(1S)-1-[3-[Ethyl(methyl)carbamoyl]oxyphenyl]ethyl]-trimethylazanium,ZINC77303349,265.370,C15H25N2O2+,29.500,299.000,NULL,19,0,2,5,RVAKZJAYLAIWSI-LBPRGKRZSA-N,[(1S)-1-[3-[ethyl(methyl)carbamoyl]oxyphenyl]ethyl]-trimethylazanium,NULL,,,NULL,20131101,NULL
72806893,[3-[1-(Dimethylamino)ethyl]phenyl] N-(1-phenylpropan-2-yl)-N-prop-2-ynylcarbamate,NULL,364.500,C23H28N2O2,32.800,504.000,NULL,27,0,3,8,JOAPBSSQCBUBDI-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]phenyl] N-(1-phenylpropan-2-yl)-N-prop-2-ynylcarbamate,NULL,1024,1,NULL,20140225,NULL
72816136,[3-[1-(Dimethylamino)ethyl]phenyl] N-methyl-N-(1-phenylpropan-2-yl)carbamate,NULL,340.500,C21H28N2O2,32.800,407.000,NULL,25,0,3,7,QGKSWUZOCNWHHA-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]phenyl] N-methyl-N-(1-phenylpropan-2-yl)carbamate,NULL,1040,2,NULL,20140225,NULL
72834171,[3-[1-(Dimethylamino)ethyl]phenyl] N-(1-phenylpropan-2-yl)carbamate,NULL,326.400,C20H26N2O2,41.600,380.000,NULL,24,1,3,7,HKJROXHSAHRDAO-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]phenyl] N-(1-phenylpropan-2-yl)carbamate,NULL,1024,1,NULL,20140225,NULL
73357705,"(1S)-1-[3-[Ethyl(methyl)carbamoyl]oxyphenyl]-N,N-dimethylethanamine oxide","(component 4159|RA06|(S)-1-(3-(ethyl(methyl)carbamoyloxy)phenyl)-N,N-dimethylethanamine oxide",266.340,C14H22N2O3,47.600,307.000,NULL,19,0,3,5,MBMWTVGNCZCYGB-NSHDSACASA-N,"(1S)-1-[3-[ethyl(methyl)carbamoyl]oxyphenyl]-N,N-dimethylethanamine oxide",NULL,,,NULL,20140404,NULL
