cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
11375931,Trichloro-(4-trichlorostannylphenyl)stannane,NULL,526.200,C6H4Cl6Sn2,0.000,168.000,NULL,14,0,0,0,YVGXFJAJLONEOL-UHFFFAOYSA-H,trichloro-(4-trichlorostannylphenyl)stannane,NULL,,,NULL,20061026,NULL
11557480,(123I)Iodanylbenzene,NULL,200.010,C6H5I,0.000,46.100,3.200,7,0,0,0,SNHMUERNLJLMHN-UUTDMHEKSA-N,(123I)iodanylbenzene,NULL,,,NULL,20061026,NULL
11680442,Phenylboron,NULL,87.920,C6H5B,0.000,46.100,NULL,7,0,0,0,XPPWLXNXHSNMKC-UHFFFAOYSA-N,phenylboron,NULL,1296,3,NULL,20061026,10.1007/978-1-4899-6848-7_5|10.1007/BF00526012|10.1007/BF00526369|10.1007/BF00527177|10.1007/BF00649879|10.1007/BF00844102|10.1007/BF00953166|10.1021/ja0302937|10.1021/ja0548642|10.1021/jf061118n|10.1021/jo051202m|10.1055/s-2008-1067256|10.1163/156856703765694363
11737041,"Benzene;cyclohexa-1,4-diene;ruthenium",NULL,259.300,C12H14Ru,0.000,73.500,NULL,13,0,0,0,HNSWJGJGSHVHBV-UHFFFAOYSA-N,"benzene;cyclohexa-1,4-diene;ruthenium",NULL,,,NULL,20061026,NULL
11802295,Iodo(phenyl)tin,SCHEMBL9242394|SCHEMBL9242393,322.720,C6H5ISn,0.000,59.500,NULL,8,0,0,0,ZQNLEEUUUZHCHP-UHFFFAOYSA-M,iodo(phenyl)tin,NULL,,,NULL,20061027,NULL
11804749,Boron;phenylphosphane,phenylphosphine-borane|Phenylphosphine borane complex|SCHEMBL9818241|SCHEMBL2299471|AKOS006227904,120.910,C6H7BP,0.000,46.100,NULL,8,0,0,0,GCXVBQCXVSANIT-UHFFFAOYSA-N,boron;phenylphosphane,NULL,256,1,NULL,20061027,10.1007/BF00850360|10.1007/BF00908559|10.1007/s00894-013-2001-y
12089923,"Thallium, dichlorophenyl-","Thallium, dichlorophenyl-|19628-33-2|SCHEMBL11431533|CTK0E0907|DTXSID70477381",352.390,C6H5Cl2Tl,0.000,79.100,NULL,9,0,0,0,DRDKGXWNVDABPV-UHFFFAOYSA-L,dichloro(phenyl)thallane,NULL,768,2,NULL,20070207,10.1007/10201446_25|10.1007/978-1-4615-9498-7_3|10.1007/BF00909165|10.1007/BF00918121|10.1007/BF00954414|10.1007/BF01167390
12110107,Iodobenzene-d5,"Iodobenzene-d5|7379-67-1|SCHEMBL1332678|Iodobenzene-d5, 98 atom % D|DTXSID10477744|MFCD00190467|AKOS024264237",209.040,C6H5I,0.000,46.100,3.200,7,0,0,0,SNHMUERNLJLMHN-RALIUCGRSA-N,"1,2,3,4,5-pentadeuterio-6-iodobenzene",NULL,5648,4,NULL,20070207,NULL
12154732,"Benzene-1,4-diselenolate",NULL,234.000,C6H4Se2-2,0.000,54.900,NULL,8,0,2,0,SRIUKEUNOSKUFM-UHFFFAOYSA-L,"benzene-1,4-diselenolate",NULL,,,NULL,20070207,NULL
12169915,Phenylchlorotellurium,Benzenetellurenyl chloride,240.200,C6H5ClTe,0.000,59.500,NULL,8,0,0,0,PKLQPGJXIWIRAA-UHFFFAOYSA-N,phenyl tellurohypochlorite,NULL,256,1,NULL,20070207,10.1007/BFb0050829
12196274,Tetradeuteriobenzole,Tetradeuteriobenzole,82.140,C6H6,0.000,15.500,2.100,6,0,0,0,UHOVQNZJYSORNB-RHQRLBAQSA-N,"1,2,3,4-tetradeuteriobenzene",NULL,256,1,NULL,20070207,10.1007/978-3-642-88220-3_1|10.1007/BF01518875|10.1007/s00216-015-9074-7
12208570,Benzene-13C,"Benzene-13C|6998-50-1|DTXSID60480506|Benzene-13c,99 atom % 13c|Benzene-13C, 99 atom % 13C|AKOS015913262|I14-46190",79.100,C6H6,0.000,15.500,2.100,6,0,0,0,UHOVQNZJYSORNB-OUBTZVSYSA-N,(113C)cyclohexatriene,NULL,5648,4,NULL,20070207,NULL
12217717,"Iodo(1,2,3,4,5,6-14C6)cyclohexatriene","IODOBENZENE, [14C(U)]|82460-32-0",215.964,C6H5I,0.000,46.100,3.200,7,0,0,0,SNHMUERNLJLMHN-YROCTSJKSA-N,"iodo(1,2,3,4,5,6-14C6)cyclohexatriene",NULL,,,NULL,20070207,NULL
12217720,1-Deuterio-2-iodobenzene,NULL,205.010,C6H5I,0.000,46.100,3.200,7,0,0,0,SNHMUERNLJLMHN-QYKNYGDISA-N,1-deuterio-2-iodobenzene,NULL,1040,2,NULL,20070207,NULL
12343975,"1-Fluorocyclohexa-1,3-dien-5-yne","62209-91-0|fluorobenzyne|CTK2C4986|DTXSID10492513|1-Fluorocyclohexa-1,3-dien-5-yne|1,3-Cyclohexadien-5-yne, 1-fluoro-",94.090,C6H3F,0.000,52.100,NULL,7,0,1,0,LAFVYDIGFNJXFG-UHFFFAOYSA-N,"1-fluorocyclohexa-1,2,3,5-tetraene",NULL,1808,4,NULL,20070207,10.1007/978-3-319-04346-3_11|10.1021/ja044899m|10.1021/ja0754655|10.1021/ja800639f|10.3390/ijms10073128
12343976,"2-Fluorocyclohexa-1,3-dien-5-yne","62209-92-1|CTK2C4985|DTXSID70492514|2-Fluorocyclohexa-1,3-dien-5-yne|1,3-Cyclohexadien-5-yne, 2-fluoro-",94.090,C6H3F,0.000,52.100,NULL,7,0,1,0,ROUZHXMOFAJXFA-UHFFFAOYSA-N,"5-fluorocyclohexa-1,2,3,5-tetraene",NULL,768,2,NULL,20070207,10.3390/ijms10073128
12389856,Phenylselenosodium,sodium selenophenolate|KWWPLMMECWKOFF-UHFFFAOYSA-M,179.060,C6H5NaSe,0.000,46.100,NULL,8,0,1,0,KWWPLMMECWKOFF-UHFFFAOYSA-M,sodium;benzeneselenolate,NULL,1040,2,NULL,20070208,NULL
