cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
57579133,"Cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[6-(4-fluoroanilino)-2-phenylpyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927404,832.000,C42H50FN7O8S,206.000,1650.000,NULL,59,4,12,16,MEEQJKPGOKDCSR-DETFZXKFSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[6-(4-fluoroanilino)-2-phenylpyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579134,"Tert-butyl N-[(1S,4R,6S,14S,18R)-4-(cyclopropylsulfonylcarbamoyl)-18-[2-(4-fluoroanilino)-6-pyrrolidin-1-ylpyrimidin-4-yl]oxy-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadecan-14-yl]carbamate",NULL,827.000,C40H55FN8O8S,210.000,1590.000,NULL,58,4,13,11,QEQRWEMVYXIAPQ-AWZLAKOHSA-N,"tert-butyl N-[(1S,4R,6S,14S,18R)-4-(cyclopropylsulfonylcarbamoyl)-18-[2-(4-fluoroanilino)-6-pyrrolidin-1-ylpyrimidin-4-yl]oxy-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadecan-14-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579137,"Methyl (1S,4R,6R,7Z,14S,18R)-18-[2-(4-fluoroanilino)-6-pyrrolidin-1-ylpyrimidin-4-yl]oxy-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-ene-4-carboxylate",NULL,735.800,C38H50FN7O7,164.000,1330.000,NULL,53,3,12,10,CPHXJXGLUDZIDA-PPJUUYOVSA-N,"methyl (1S,4R,6R,7Z,14S,18R)-18-[2-(4-fluoroanilino)-6-pyrrolidin-1-ylpyrimidin-4-yl]oxy-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-ene-4-carboxylate",NULL,1040,2,NULL,20120819,NULL
57579138,"Cyclopentyl N-[(2S)-1-[(2S,4R)-4-(6-chloro-2-phenylpyrimidin-4-yl)oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927440,757.300,C36H45ClN6O8S,194.000,1470.000,NULL,52,3,10,14,BSEFQHDPHBWKDU-OBCCQSCCSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-4-(6-chloro-2-phenylpyrimidin-4-yl)oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579146,"Cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[2-phenyl-6-(trimethylsilylmethylamino)pyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927413,824.100,C40H57N7O8SSi,206.000,1600.000,NULL,57,4,11,17,RNQVKJIXMRFKHO-KOOQAFJFSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[2-phenyl-6-(trimethylsilylmethylamino)pyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579148,"Cyclopentyl N-[(2S)-1-[(2S,4R)-4-[6-chloro-2-(3-fluoroanilino)pyrimidin-4-yl]oxy-2-[[(1R,2S)-1-[(cyclopropylsulfonylamino)methyl]-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927480,776.300,C36H47ClFN7O7S,189.000,1460.000,NULL,53,4,12,16,SAHHPCGQLFREOG-XXDQDSDESA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-4-[6-chloro-2-(3-fluoroanilino)pyrimidin-4-yl]oxy-2-[[(1R,2S)-1-[(cyclopropylsulfonylamino)methyl]-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579151,"Cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[2-phenyl-6-(1,3-thiazol-2-ylsulfanyl)pyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927396,838.000,C39H47N7O8S3,261.000,1610.000,NULL,57,3,13,16,AXKFNXISCACISI-HXMCXSHESA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[2-phenyl-6-(1,3-thiazol-2-ylsulfanyl)pyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579156,"Cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethylcyclopropyl]carbamoyl]-4-[2-methylsulfanyl-6-(1-methyltetrazol-5-yl)sulfanylpyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927488,809.000,C33H48N10O8S3,289.000,1510.000,NULL,54,3,15,16,GQCUAXQXLFSPBH-XMNIUZKNSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethylcyclopropyl]carbamoyl]-4-[2-methylsulfanyl-6-(1-methyltetrazol-5-yl)sulfanylpyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579159,"Cyclopentyl N-[(2S)-1-[(2S,4R)-4-[6-chloro-2-[1,3-thiazol-2-yl-(2,2,2-trifluoroacetyl)amino]pyrimidin-4-yl]oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927458,875.300,C35H42ClF3N8O9S2,256.000,1730.000,NULL,58,3,16,15,JCJBHXSCXSESJY-QMCFEVAGSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-4-[6-chloro-2-[1,3-thiazol-2-yl-(2,2,2-trifluoroacetyl)amino]pyrimidin-4-yl]oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579161,"Cyclopentyl N-[(2S)-1-[(2S,4R)-4-(4-anilinopyrimidin-2-yl)oxy-2-[[(1R,2R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927416,739.900,C36H49N7O8S,206.000,1420.000,NULL,52,4,11,15,FYDQVGYPPYFSFE-SLPHQCMCSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-4-(4-anilinopyrimidin-2-yl)oxy-2-[[(1R,2R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579162,"Cyclopentyl N-[(2S)-1-[(2S,4R)-4-[6-chloro-2-[(1-methyl-2,3-dihydrotetrazol-5-yl)sulfanyl]pyrimidin-4-yl]oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927447,797.300,C32H45ClN10O8S2,259.000,1580.000,NULL,53,5,14,15,JLWYLFYMBUAVHE-SQSFWIEUSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-4-[6-chloro-2-[(1-methyl-2,3-dihydrotetrazol-5-yl)sulfanyl]pyrimidin-4-yl]oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
